,curr,mc,last_price,day_change,week_change,month_change
0,BTC,180509966336.0,10397.9,-3.055306929216088,3.927036481759117,2.885328953227199
1,ETH,85936373760.0,855.2,-2.6267548703701524,5.211357708774177,-20.159084331500384
2,XRP,36932734976.0,0.904583,-4.509846353603109,-3.9504644357328758,-20.65061403508771
3,BCH,21124108288.0,1204.16,-3.409109139621067,-1.25708287890839,-18.114990989765726
4,LTC,12039226368.0,202.9,-6.325023084025849,3.8861297424607053,22.761374636979674
5,NEO,9254661120.0,133.24,-6.498245614035081,16.7952314165498,-8.91441071916871
6,ADA,8672232448.0,0.312581,-6.841292737590007,-7.485105262067471,-41.234562795043544
7,XLM,6656078336.0,0.333916,-7.771004637468208,-8.877409284289401,-31.80488840963304
8,EOS,5940665344.0,8.41,-1.8669778296382746,3.955500618046975,-27.249134948096888
9,MIOTA,5478339584.0,1.86,-5.583756345177659,14.814814814814813,-16.216216216216218
10,DASH,4864747008.0,584.29,-5.124624502719827,-7.689269464105168,-13.682764326129028
11,XMR,4755313664.0,285.7,-5.566206121504605,1.0397510256047524,4.262462593971246
12,XEM,3606487040.0,0.401794,0.007964914551395226,-7.044847250980348,-48.2551632922983
13,ETC,3606200576.0,33.69,-7.0620689655172475,2.682109113075268,24.179874677478804
14,TRX,2809828608.0,0.04335,1.4485970372797303,6.579141466292958,-19.36533918639907
15,QTUM,2065064064.0,26.22,-6.357142857142861,-0.5688282138794165,-29.76158585587999
16,NANO,2044925184.0,14.29,-7.687338501291998,53.987068965517246,-10.965732087227424
17,BTG,2028149888.0,113.18,-6.701838265600523,-5.470642278459866,-28.875761955633752
18,LSK,2055329152.0,18.34,-8.846918489065612,-14.657980456026054,-15.522800552740676
19,ICX,1553019904.0,3.55,-11.910669975186114,-5.585106382978723,-57.073760580411125
20,ZEC,1378075904.0,382.03,-6.587280240604458,-3.9618894391513226,-0.3755182934779916
21,BCN,928828992.0,0.004482,-11.300217692459931,-4.840764331210189,-26.0761999010391
22,STEEM,875765120.0,3.28,-6.552706552706553,-6.552706552706553,-30.947368421052637
23,XVG,880479936.0,0.053547000000000004,-10.937577965171396,-9.440376126773646,-21.724067360542634
24,STRAT,770470208.0,7.35,-5.769230769230771,1.1004126547455306,-38.64774624373957
25,DOGE,710878976.0,0.006018,-4.3395326657129205,-3.8504553443042138,-0.09960159362549684
26,WAVES,661896576.0,6.29,-4.5523520485584195,-4.407294832826748,-17.34559789750329
27,SC,718484544.0,0.019284,-12.504537205081677,-11.981377516089289,-42.015214841988154
28,BTS,574754752.0,0.221125,0.3790458032593284,-1.5651639727387217,-43.724502650579105
29,DCR,532292768.0,74.41,-4.492362982929021,2.8330569375345456,-16.655465949820794
